branch,mean_coherence,standard_error_of_mean,z_score,p_value,z_alpha,decision_test,z_alpha_bonferroni_corrected,decision_bonferroni_corrected,branch_length,number_of_sites,rate_category
"(A1, Node1*)",1.5714,0.0679,23.1295,0.0,1.6449,Informative,2.7131,Informative,0.06665362876,407,c4
"(A2, Node1*)",1.622,0.0768,21.1195,0.0,1.6449,Informative,2.7131,Informative,0.1725609583104,407,c4
"(Node2*, Node1*)",0.987,0.0651,15.1665,0.0,1.6449,Informative,2.9137,Informative,0.18047765644160002,407,c4
"(Node3*, Node2*)",1.1356,0.0654,17.3555,0.0,1.6449,Informative,2.9137,Informative,0.1503620763248,407,c4
"(Node4*, Node2*)",1.1185,0.0644,17.3603,0.0,1.6449,Informative,3.0781,Informative,0.1308115587616,407,c4
"(A3, Node3*)",1.867,0.0721,25.8902,0.0,1.6449,Informative,2.7131,Informative,0.0477314026784,407,c4
"(A4, Node3*)",1.9502,0.0792,24.6084,0.0,1.6449,Informative,2.7131,Informative,0.12674864113440001,407,c4
"(Node5*, Node4*)",0.9487,0.0544,17.4284,0.0,1.6449,Informative,3.0781,Informative,0.004421724496000001,407,c4
"(Node8*, Node4*)",0.1919,0.0821,2.3367,0.0097,1.6449,Informative,3.1628,Saturated,2.4710724461535998,407,c4
"(Node6*, Node5*)",1.8626,0.0729,25.5345,0.0,1.6449,Informative,2.9137,Informative,0.07537459660640002,407,c4
"(Node7*, Node5*)",1.8413,0.071,25.9474,0.0,1.6449,Informative,2.9137,Informative,0.0431358910096,407,c4
"(Node9*, Node8*)",1.8811,0.0726,25.8961,0.0,1.6449,Informative,3.1582,Informative,0.049165488688000004,407,c4
"(B4, Node8*)",1.7665,0.068,25.9918,0.0,1.6449,Informative,2.7131,Informative,2.4261504000000002e-06,407,c4
"(A5, Node6*)",2.2096,0.0797,27.7404,0.0,1.6449,Informative,2.7131,Informative,0.0751528270352,407,c4
"(A6, Node6*)",2.2059,0.0793,27.8183,0.0,1.6449,Informative,2.7131,Informative,0.0634104009248,407,c4
"(A7, Node7*)",2.3448,0.0805,29.1249,0.0,1.6449,Informative,2.7131,Informative,0.0413770625392,407,c4
"(A8, Node7*)",2.3471,0.0813,28.8667,0.0,1.6449,Informative,2.7131,Informative,0.05269895055360001,407,c4
"(Node10*, Node9*)",1.1639,0.065,17.9117,0.0,1.6449,Informative,3.144,Informative,0.11897137804320002,407,c4
"(B3, Node9*)",1.9045,0.0792,24.0436,0.0,1.6449,Informative,2.7131,Informative,0.1185660269712,407,c4
"(Node11*, Node10*)",1.0992,0.0608,18.0798,0.0,1.6449,Informative,2.9137,Informative,0.1058716186576,407,c4
"(Node12*, Node10*)",0.8788,0.0641,13.71,0.0,1.6449,Informative,3.0781,Informative,0.19738302976320002,407,c4
"(B1, Node11*)",1.5672,0.0742,21.1107,0.0,1.6449,Informative,2.7131,Informative,0.12638490606720001,407,c4
"(B2, Node11*)",1.5886,0.0734,21.6387,0.0,1.6449,Informative,2.7131,Informative,0.11880276788000001,407,c4
"(Node13*, Node12*)",1.1644,0.0715,16.2841,0.0,1.6449,Informative,2.9137,Informative,0.21580978162560002,407,c4
"(Node14*, Node12*)",1.0531,0.0587,17.9472,0.0,1.6449,Informative,2.9137,Informative,0.051576636984,407,c4
"(B5, Node13*)",2.1152,0.0822,25.7393,0.0,1.6449,Informative,2.7131,Informative,0.1085584338976,407,c4
"(B6, Node13*)",1.9474,0.0729,26.7175,0.0,1.6449,Informative,2.7131,Informative,0.0239635509264,407,c4
"(B7, Node14*)",1.7156,0.0766,22.3918,0.0,1.6449,Informative,2.7131,Informative,0.1194511553952,407,c4
"(B8, Node14*)",1.7463,0.0736,23.726,0.0,1.6449,Informative,2.7131,Informative,0.0777092270432,407,c4
